text,label
"Dear Account Holder, your credit card has been flagged for fraud. Verify your card number and PIN immediately.",1
Your computer has been infected with a virus! Call our support team NOW at 0900-HELPDESK to fix it.,1
This message will come to you as surprised. I am contacting you because of a sum of EUR 12 million kept in a bank here. I offer you 30% of the total sum.,1
URGENT ACTION NEEDED: Tax refund of $842 is pending. Submit your bank account details to receive it.,1
URGENT ACTION NEEDED: Tax refund of $842 is pending. Submit your bank account details to receive it.,1
This message will come to you as surprised. I am contacting you because of a sum of EUR 12 million kept in a bank here. I offer you 30% of the total sum.,1
You have been chosen to receive compensation funds from the Nigerian government. We need your bank account details to transfer USD 2.5 million.,1
"Dear Beloved Friend, I know this message will come to you as a surprise but permit me of my desire to go into business relationship with you.",1
Your Netflix subscription has expired. Update your billing details immediately: http://netflix-billing-update.com/pay,1
"Dear Trusted One, I am the widow of the late minister. There is the sum of 7.5 million USD that I need to transfer out. Please reply if you are a reliable and honest person.",1
"You have a pending wire transfer of $5,000. Confirm your bank details to receive the funds today.",1
You have been chosen to receive compensation funds from the Nigerian government. We need your bank account details to transfer USD 2.5 million.,1
"Dear Trusted One, I am the widow of the late minister. There is the sum of 7.5 million USD that I need to transfer out. Please reply if you are a reliable and honest person.",1
"Dear Valued Member, your PayPal account will be limited. Please verify your information: http://paypal.account-verify.net",1
"Dear Trusted Partner, I write to solicit your assistance in the transfer of funds belonging to my deceased father into your bank account.",1
You have been chosen to receive compensation funds from the Nigerian government. We need your bank account details to transfer USD 2.5 million.,1
I am the son of the late president and I have the sum of USD 15.5 million deposited in a security company. I need a reliable person to transfer the fund.,1
Congratulations! You have won a FREE iPhone 15. Claim your prize here: http://free-prize-winner.ru/claim?id=99,1
Verify your identity to avoid account termination. Enter your username and password at: http://id-verify.net,1
I got your contact through the internet. I have a business proposal regarding funds transfer. I will give you 40% of the total amount if you assist me.,1
"Dear winner, you have been randomly selected to receive 500 euros. Click here to claim: http://euro-lottery-win.tk",1
I am the son of the late president and I have the sum of USD 15.5 million deposited in a security company. I need a reliable person to transfer the fund.,1
"Dear Customer, your account has been suspended. Verify immediately at http://paypal-login-secure.com/verify or it will be closed within 24 hours.",1
Congratulations! You are selected for a $1000 gift card. Enter your details to claim your reward now.,1
"Dear Customer, your account has been suspended. Verify immediately at http://paypal-login-secure.com/verify or it will be closed within 24 hours.",1
Congratulations! You are selected for a $1000 gift card. Enter your details to claim your reward now.,1
You have been selected for our exclusive loyalty program. Provide your social security number to enroll.,1
You have been selected for our exclusive loyalty program. Provide your social security number to enroll.,1
You have been chosen to receive compensation funds from the Nigerian government. We need your bank account details to transfer USD 2.5 million.,1
Congratulations! You have won a FREE iPhone 15. Claim your prize here: http://free-prize-winner.ru/claim?id=99,1
"Dear sir/madam, permit me to introduce myself. I have civil war funds totaling USD 8 million deposited in a safety keeping. Reply to my alternative email.",1
Congratulations! You are selected for a $1000 gift card. Enter your details to claim your reward now.,1
We have placed a hold on your account due to suspicious transactions. Call us at +1-900-555-0199 immediately.,1
FINAL WARNING: Your bank account will be closed. Provide your credentials immediately to avoid suspension.,1
"Dear Trusted Partner, I write to solicit your assistance in the transfer of funds belonging to my deceased father into your bank account.",1
"Dear User, we detected a login from an unknown device. Confirm your password here or your account will be blocked.",1
Your DHL package could not be delivered. Pay the small customs fee to release it: http://dhl-customs.info/pay,1
SECURITY ALERT: Your email password needs to be reset immediately. Click here: http://secure-password-reset.net,1
